village,beat_officer,sector_officer,beat_constable,population,caste,sarpanch,school
Savrikala,SI Vidhi Pandey,ASI Pramod Bagri,Vijay Sisodiya,1527,gen,sohan,Govt. school
Umri,SI Vidhi Pandey,ASI Pramod Bagri,Vijay Sisodiya,1528,gen,sohan,Govt. school
Kulpa,SI Vidhi Pandey,ASI Pramod Bagri,Dilip Yadav,1528,gen,sohan,Govt. school
Karanja,SI Vidhi Pandey,ASI Pramod Bagri,Dilip Yadav,1529,gen,sohan,Govt. school
Bapdi,SI Vidhi Pandey,ASI Pramod Bagri,Dilip Yadav,1530,gen,sohan,Govt. school
Parsodi,SI Vidhi Pandey,ASI Pramod Bagri,Dilip Yadav,1531,gen,sohan,Govt. school
Paraswada,SI Vidhi Pandey,ASI Pramod Bagri,Dilip Yadav,1532,gen,sohan,Govt. school
Chichamtola,SI Vidhi Pandey,ASI Pramod Bagri,Dilip Yadav,1533,gen,sohan,Govt. school
Bolegaon,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Ashutosh Singh,1533,gen,sohan,Govt. school
Benegaon,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Ashutosh Singh,1534,gen,sohan,Govt. school
Ghoti-Ghusmara,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Ashutosh Singh,1535,gen,sohan,Govt. school
Kochewahi,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Ashutosh Singh,1536,gen,sohan,Govt. school
Bhimodi,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Ashutosh Singh,1536,gen,sohan,Govt. school
Mohara,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Sujeet Pal,1536,gen,sohan,Govt. school
Mohjhari,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Sujeet Pal,1537,gen,sohan,Govt. school
Bhanegaon,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Sujeet Pal,1538,gen,sohan,Govt. school
Temni (Choundhatola),ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Sujeet Pal,1539,gen,sohan,Govt. school
Chikhlamali,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Sujeet Pal,1540,gen,sohan,Govt. school
Sihari,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Roopsingh Rawat,1540,gen,sohan,Govt. school
Aava,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Roopsingh Rawat,1541,gen,sohan,Govt. school
Churli,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Roopsingh Rawat,1542,gen,sohan,Govt. school
Dorli,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Roopsingh Rawat,1543,gen,sohan,Govt. school
Tedva,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Roopsingh Rawat,1544,gen,sohan,Govt. school
Binjhalgaon,ASI Parmanand Bhagat,ASI Devraj Singh Dhurve,Roopsingh Rawat,1545,gen,sohan,Govt. school
Pipalgaon kala,ASI Parmanand Bhagat,HC Sandeep Sonekar,Jitendra Pandre,1545,gen,sohan,Govt. school
Sirri,ASI Parmanand Bhagat,HC Sandeep Sonekar,Jitendra Pandre,1546,gen,sohan,Govt. school
Atariya,ASI Parmanand Bhagat,HC Sandeep Sonekar,Jitendra Pandre,1547,gen,sohan,Govt. school
Mendra,ASI Parmanand Bhagat,HC Sandeep Sonekar,Jitendra Pandre,1548,gen,sohan,Govt. school
Bhakkutola,ASI Parmanand Bhagat,HC Sandeep Sonekar,Jitendra Pandre,1549,gen,sohan,Govt. school
Borikala,ASI Parmanand Bhagat,HC Sandeep Sonekar,Jitendra Pandre,1550,gen,sohan,Govt. school
Itora,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1551,gen,sohan,Govt. school
Kakodi,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1552,gen,sohan,Govt. school
Khajri,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1553,gen,sohan,Govt. school
Kalpathri,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1550,gen,sohan,Govt. school
Pathargaon,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1551,gen,sohan,Govt. school
Badhgaon,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1552,gen,sohan,Govt. school
Pondi,ASI Parmanand Bhagat,HC Sandeep Sonekar,Pavan dhakad,1553,gen,sohan,Govt. school
